setting,es,group,centile,rank,final.rank,effective.group
all,2.66,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.67,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.68,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.69,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.7,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.71,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.72,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.73,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.74,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.75,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.76,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.77,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.78,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.79,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.8,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.81,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.82,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.83,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.84,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.85,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.86,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.87,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.88,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.89,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.89,general,98.91,98.91st,98.91st percentile rank,upper (≥75th percentile)
all,2.9,general,99.46,99.46th,99.46th percentile rank,upper (≥75th percentile)
all,2.91,general,99.46,99.46th,99.46th percentile rank,upper (≥75th percentile)
all,2.92,general,99.46,99.46th,99.46th percentile rank,upper (≥75th percentile)
all,2.93,general,99.46,99.46th,99.46th percentile rank,upper (≥75th percentile)
all,2.94,general,99.46,99.46th,99.46th percentile rank,upper (≥75th percentile)
all,2.95,general,99.46,99.46th,99.46th percentile rank,upper (≥75th percentile)
all,2.96,general,99.46,99.46th,99.46th percentile rank,upper (≥75th percentile)
all,2.97,general,99.46,99.46th,99.46th percentile rank,upper (≥75th percentile)
all,2.98,general,99.46,99.46th,99.46th percentile rank,upper (≥75th percentile)
all,2.99,general,99.46,99.46th,99.46th percentile rank,upper (≥75th percentile)
all,3,general,99.46,99.46th,99.46th percentile rank,upper (≥75th percentile)
all,3.01,general,99.46,99.46th,99.46th percentile rank,upper (≥75th percentile)
all,3.02,general,99.46,99.46th,99.46th percentile rank,upper (≥75th percentile)
all,3.03,general,99.46,99.46th,99.46th percentile rank,upper (≥75th percentile)
all,3.04,general,99.46,99.46th,99.46th percentile rank,upper (≥75th percentile)
all,3.05,general,99.46,99.46th,99.46th percentile rank,upper (≥75th percentile)
all,3.06,general,99.46,99.46th,99.46th percentile rank,upper (≥75th percentile)
all,3.07,general,99.46,99.46th,99.46th percentile rank,upper (≥75th percentile)
all,3.07,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.08,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.09,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.1,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.11,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.12,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.13,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.14,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.15,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.16,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.17,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.18,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.19,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.2,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.21,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.22,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.23,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.24,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.25,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.26,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.27,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.28,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.29,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.3,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.31,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.32,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.33,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.34,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.35,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.36,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.37,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.38,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.39,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.4,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.41,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.42,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.43,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.44,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.45,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.46,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.47,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.48,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.49,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.5,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.51,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.52,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.53,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.54,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.55,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.56,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.57,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.58,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.59,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.6,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.61,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.62,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.63,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.64,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.65,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.66,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.67,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.68,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.69,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.7,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.71,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.72,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.73,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.74,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.75,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.76,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.77,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.78,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.79,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.8,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.81,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.82,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.83,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.84,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.85,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.86,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.87,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.88,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.89,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.9,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.91,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.92,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.93,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.94,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.95,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.96,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.97,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.98,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,3.99,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.01,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.02,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.03,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.04,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.05,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.06,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.07,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.08,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.09,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.1,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.11,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.12,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.13,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.14,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.15,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.16,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.17,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.18,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.19,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.2,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.21,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.22,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.23,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.24,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.25,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.26,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.27,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.28,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.29,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.3,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.31,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.32,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.33,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.34,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.35,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.36,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.37,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.38,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.39,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.4,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.41,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.42,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.43,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.44,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.45,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.46,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.47,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.48,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.49,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.5,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.51,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.52,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.53,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.54,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.55,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.56,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.57,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.58,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.59,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.6,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.61,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.62,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.63,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.64,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.65,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.66,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.67,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.68,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.69,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.7,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.71,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.72,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.73,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.74,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.75,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.76,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.77,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.78,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.79,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.8,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.81,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.82,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.83,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.84,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.85,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.86,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.87,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.88,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.89,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.9,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.91,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.92,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.93,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.94,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.95,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.96,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.97,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.98,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,4.99,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.01,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.02,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.03,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.04,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.05,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.06,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.07,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.08,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.09,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.1,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.11,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.12,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.13,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.14,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.15,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.16,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.17,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.18,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.19,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.2,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.21,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.22,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.23,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.24,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.25,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.26,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.27,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.28,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.29,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.3,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.31,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.32,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.33,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.34,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.35,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.36,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.37,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.38,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.39,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.4,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.41,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.42,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.43,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.44,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.45,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.46,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.47,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.48,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.49,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.5,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.51,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.52,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.53,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.54,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.55,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.56,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.57,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.58,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.59,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.6,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.61,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.62,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.63,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.64,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.65,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.66,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.67,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.68,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.69,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.7,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.71,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.72,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.73,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.74,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.75,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.76,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.77,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.78,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.79,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.8,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.81,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.82,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.83,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.84,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.85,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.86,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.87,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.88,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.89,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.9,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.91,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.92,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.93,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.94,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.95,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.96,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.97,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.98,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,5.99,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.01,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.02,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.03,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.04,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.05,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.06,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.07,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.08,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.09,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.1,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.11,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.12,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.13,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.14,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.15,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.16,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.17,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.18,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.19,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.2,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.21,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.22,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.23,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.24,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.25,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.26,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.27,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.28,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.29,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.3,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.31,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.32,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.33,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.34,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.35,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.36,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.37,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
all,6.38,general,100,100.00th,≥100 percentile rank,upper (≥75th percentile)
